,DIA,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,INTERPROVINCIAL
968525,04/03/2019,es,Granada,Motril,22.0,2,12,2,10,1,Andalucía,Andalucía,Si
971864,04/03/2019,es,Granada,Nerja,9.0,3,3,2,3,0,Andalucía,Andalucía,No
974632,04/03/2019,es,Granada,Luque,3.0,1,1,1,1,0,Andalucía,Andalucía,No
976934,04/03/2019,es,Granada,La Línea de la Concepción,19.0,1,8,1,7,0,Andalucía,Andalucía,No
1003296,04/03/2019,es,Granada,La Mojonera,3.0,1,1,1,1,0,Andalucía,Andalucía,No
1007452,04/03/2019,es,Granada,Albuñol,4.0,1,2,1,2,0,Andalucía,Andalucía,Si
1011458,04/03/2019,es,Granada,Fines,3.0,1,1,1,1,0,Andalucía,Andalucía,No
1015008,04/03/2019,es,Granada,Arahal,1.0,1,1,1,1,0,Andalucía,Andalucía,No
379983,07/10/2019,es,Granada,Sevilla,92.0,44,41,23,41,4,Andalucía,Andalucía,No
458076,07/10/2019,es,Granada,Jerez de la Frontera,49.0,9,23,7,21,3,Andalucía,Andalucía,No
478469,07/10/2019,es,Granada,Algeciras,29.0,15,17,10,16,0,Andalucía,Andalucía,No
513902,07/10/2019,es,Granada,El Puerto de Santa María,24.0,2,10,1,10,2,Andalucía,Andalucía,No
524511,07/10/2019,es,Granada,Marbella,52.0,14,22,8,21,0,Andalucía,Andalucía,No
554022,07/10/2019,es,Granada,San Fernando,5.0,1,3,1,3,1,Andalucía,Andalucía,No
569290,07/10/2019,es,Granada,Málaga,231.0,71,103,38,101,4,Andalucía,Andalucía,No
654664,07/10/2019,es,Granada,Jaén,185.0,24,73,15,70,2,Andalucía,Andalucía,No
669959,07/10/2019,es,Granada,Baeza,8.0,1,3,1,3,0,Andalucía,Andalucía,No
677041,07/10/2019,es,Granada,Córdoba,65.0,21,24,11,24,0,Andalucía,Andalucía,No
769715,07/10/2019,es,Granada,Antequera,35.0,1,15,1,12,1,Andalucía,Andalucía,No
780161,07/10/2019,es,Granada,Úbeda,15.0,4,5,2,5,0,Andalucía,Andalucía,No
785913,07/10/2019,es,Granada,Almería,92.0,28,38,17,38,1,Andalucía,Andalucía,No
809679,07/10/2019,es,Granada,Torremolinos,17.0,1,8,1,8,0,Andalucía,Andalucía,No
830588,07/10/2019,es,Granada,Cádiz,26.0,19,12,7,12,0,Andalucía,Andalucía,No
844935,07/10/2019,es,Granada,Guadix,26.0,1,10,1,10,1,Andalucía,Andalucía,Si
856505,07/10/2019,es,Granada,Olula del Río,7.0,3,2,1,2,0,Andalucía,Andalucía,No
860686,07/10/2019,es,Granada,Linares,28.0,1,10,1,8,0,Andalucía,Andalucía,No
865142,07/10/2019,es,Granada,Benalmádena,3.0,1,2,1,2,0,Andalucía,Andalucía,No
872615,07/10/2019,es,Granada,Huelva,11.0,4,7,2,6,0,Andalucía,Andalucía,No
893266,07/10/2019,es,Granada,Fuengirola,28.0,2,13,2,13,0,Andalucía,Andalucía,No
898124,07/10/2019,es,Granada,Ronda,14.0,1,5,1,5,1,Andalucía,Andalucía,No
900197,07/10/2019,es,Granada,Vélez-Rubio,11.0,1,4,1,4,0,Andalucía,Andalucía,No
909496,07/10/2019,es,Granada,Roquetas de Mar,19.0,2,13,2,13,0,Andalucía,Andalucía,No
912230,07/10/2019,es,Granada,Huéscar,14.0,2,7,1,7,2,Andalucía,Andalucía,Si
922178,07/10/2019,es,Granada,Tarifa,2.0,2,1,1,1,0,Andalucía,Andalucía,No
926031,07/10/2019,es,Granada,El Ejido,44.0,7,23,6,19,4,Andalucía,Andalucía,No
929964,07/10/2019,es,Granada,Baza,70.0,9,28,6,28,4,Andalucía,Andalucía,Si
931726,07/10/2019,es,Granada,Manilva,1.0,1,1,1,1,0,Andalucía,Andalucía,No
938922,07/10/2019,es,Granada,Estepona,15.0,4,7,3,7,0,Andalucía,Andalucía,No
949765,07/10/2019,es,Granada,Lucena,8.0,3,3,3,3,0,Andalucía,Andalucía,No
956208,07/10/2019,es,Granada,Almuñécar,23.0,2,10,1,9,0,Andalucía,Andalucía,Si
974080,07/10/2019,es,Granada,Adra,13.0,1,5,1,5,0,Andalucía,Andalucía,No
977081,07/10/2019,es,Granada,La Línea de la Concepción,17.0,7,7,4,7,1,Andalucía,Andalucía,No
996258,07/10/2019,es,Granada,Sanlúcar de Barrameda,5.0,1,3,1,3,1,Andalucía,Andalucía,No
1000816,07/10/2019,es,Granada,San Juan del Puerto,1.0,1,1,1,1,0,Andalucía,Andalucía,No
1002491,07/10/2019,es,Granada,Villamartín,3.0,3,3,2,3,0,Andalucía,Andalucía,No
1003340,07/10/2019,es,Granada,La Mojonera,1.0,1,1,1,1,0,Andalucía,Andalucía,No
1008636,07/10/2019,es,Granada,Casabermeja,1.0,1,1,1,1,0,Andalucía,Andalucía,No
1015063,07/10/2019,es,Granada,Arahal,4.0,1,2,1,2,0,Andalucía,Andalucía,No
1015438,07/10/2019,es,Granada,Pozo Alcón,3.0,2,1,1,1,0,Andalucía,Andalucía,No
1015690,07/10/2019,es,Granada,Marchena,2.0,1,1,1,1,0,Andalucía,Andalucía,No
379605,24/09/2018,es,Granada,Sevilla,128.0,48,52,26,50,3,Andalucía,Andalucía,No
457699,24/09/2018,es,Granada,Jerez de la Frontera,53.0,16,22,10,21,0,Andalucía,Andalucía,No
478097,24/09/2018,es,Granada,Algeciras,38.0,13,15,7,15,5,Andalucía,Andalucía,No
513617,24/09/2018,es,Granada,El Puerto de Santa María,10.0,5,3,2,3,0,Andalucía,Andalucía,No
524135,24/09/2018,es,Granada,Marbella,40.0,16,19,8,16,3,Andalucía,Andalucía,No
553767,24/09/2018,es,Granada,San Fernando,12.0,1,7,1,7,0,Andalucía,Andalucía,No
568912,24/09/2018,es,Granada,Málaga,290.0,90,109,50,102,15,Andalucía,Andalucía,No
654286,24/09/2018,es,Granada,Jaén,137.0,15,52,11,48,7,Andalucía,Andalucía,No
669814,24/09/2018,es,Granada,Baeza,5.0,1,3,1,3,0,Andalucía,Andalucía,No
676663,24/09/2018,es,Granada,Córdoba,48.0,22,20,11,20,1,Andalucía,Andalucía,No
767529,24/09/2018,es,Granada,Vélez-Málaga,17.0,4,6,3,6,0,Andalucía,Andalucía,No
769454,24/09/2018,es,Granada,Antequera,34.0,1,14,1,14,2,Andalucía,Andalucía,No
779847,24/09/2018,es,Granada,Úbeda,13.0,3,5,2,5,0,Andalucía,Andalucía,No
785535,24/09/2018,es,Granada,Almería,81.0,20,32,13,32,5,Andalucía,Andalucía,No
830231,24/09/2018,es,Granada,Cádiz,23.0,6,10,3,10,1,Andalucía,Andalucía,No
860345,24/09/2018,es,Granada,Linares,39.0,3,15,2,15,3,Andalucía,Andalucía,No
864900,24/09/2018,es,Granada,Benalmádena,8.0,2,3,1,3,0,Andalucía,Andalucía,No
909147,24/09/2018,es,Granada,Roquetas de Mar,14.0,2,7,1,7,0,Andalucía,Andalucía,No
912014,24/09/2018,es,Granada,Huéscar,19.0,2,7,1,7,0,Andalucía,Andalucía,Si
912898,24/09/2018,es,Granada,Andújar,5.0,1,2,1,2,0,Andalucía,Andalucía,No
925661,24/09/2018,es,Granada,El Ejido,25.0,13,9,7,9,0,Andalucía,Andalucía,No
929587,24/09/2018,es,Granada,Baza,122.0,6,48,5,45,2,Andalucía,Andalucía,Si
936908,24/09/2018,es,Granada,Priego de Córdoba,22.0,2,7,1,5,2,Andalucía,Andalucía,No
938613,24/09/2018,es,Granada,Estepona,3.0,1,2,1,2,0,Andalucía,Andalucía,No
949563,24/09/2018,es,Granada,Lucena,9.0,1,4,1,4,0,Andalucía,Andalucía,No
955893,24/09/2018,es,Granada,Almuñécar,10.0,1,5,1,5,3,Andalucía,Andalucía,Si
958450,24/09/2018,es,Granada,Estepa,5.0,1,4,1,4,0,Andalucía,Andalucía,No
968427,24/09/2018,es,Granada,Motril,23.0,1,13,1,8,2,Andalucía,Andalucía,Si
973774,24/09/2018,es,Granada,Adra,10.0,2,5,2,5,1,Andalucía,Andalucía,No
981254,24/09/2018,es,Granada,Arcos de la Frontera,17.0,1,6,1,6,0,Andalucía,Andalucía,No
996169,24/09/2018,es,Granada,Sanlúcar de Barrameda,2.0,2,1,1,1,0,Andalucía,Andalucía,No
1017048,24/09/2018,es,Granada,Órgiva,4.0,1,1,1,1,0,Andalucía,Andalucía,Si
379620,09/10/2018,es,Granada,Sevilla,26.0,19,9,9,9,0,Andalucía,Andalucía,No
457713,09/10/2018,es,Granada,Jerez de la Frontera,13.0,5,6,2,6,0,Andalucía,Andalucía,No
478112,09/10/2018,es,Granada,Algeciras,13.0,10,7,5,7,0,Andalucía,Andalucía,No
513627,09/10/2018,es,Granada,El Puerto de Santa María,6.0,3,3,2,3,0,Andalucía,Andalucía,No
524150,09/10/2018,es,Granada,Marbella,17.0,2,9,2,8,2,Andalucía,Andalucía,No
553778,09/10/2018,es,Granada,San Fernando,4.0,2,4,2,4,0,Andalucía,Andalucía,No
568927,09/10/2018,es,Granada,Málaga,215.0,47,81,28,75,4,Andalucía,Andalucía,No
654301,09/10/2018,es,Granada,Jaén,145.0,16,53,11,48,2,Andalucía,Andalucía,No
676678,09/10/2018,es,Granada,Córdoba,27.0,4,10,4,10,0,Andalucía,Andalucía,No
734074,09/10/2018,es,Granada,Garrucha,6.0,1,2,1,2,0,Andalucía,Andalucía,No
767542,09/10/2018,es,Granada,Vélez-Málaga,14.0,1,5,1,5,0,Andalucía,Andalucía,No
779858,09/10/2018,es,Granada,Úbeda,18.0,3,6,1,6,1,Andalucía,Andalucía,No
785550,09/10/2018,es,Granada,Almería,78.0,12,30,9,27,1,Andalucía,Andalucía,No
809438,09/10/2018,es,Granada,Torremolinos,7.0,1,3,1,3,0,Andalucía,Andalucía,No
830245,09/10/2018,es,Granada,Cádiz,3.0,2,3,1,3,0,Andalucía,Andalucía,No
856355,09/10/2018,es,Granada,Olula del Río,6.0,1,2,1,2,0,Andalucía,Andalucía,No
860360,09/10/2018,es,Granada,Linares,25.0,2,11,2,9,1,Andalucía,Andalucía,No
885381,09/10/2018,es,Granada,Puerto Real,2.0,1,1,1,1,0,Andalucía,Andalucía,No
892965,09/10/2018,es,Granada,Fuengirola,11.0,2,6,2,6,0,Andalucía,Andalucía,No
895325,09/10/2018,es,Granada,Viator,2.0,1,1,1,1,0,Andalucía,Andalucía,No
921998,09/10/2018,es,Granada,Tarifa,9.0,2,4,1,4,0,Andalucía,Andalucía,No
925675,09/10/2018,es,Granada,El Ejido,22.0,2,10,2,10,0,Andalucía,Andalucía,No
929602,09/10/2018,es,Granada,Baza,50.0,4,17,2,17,0,Andalucía,Andalucía,Si
938627,09/10/2018,es,Granada,Estepona,10.0,1,6,1,6,2,Andalucía,Andalucía,No
955906,09/10/2018,es,Granada,Almuñécar,36.0,1,13,1,13,2,Andalucía,Andalucía,Si
968440,09/10/2018,es,Granada,Motril,13.0,1,14,1,6,1,Andalucía,Andalucía,Si
971772,09/10/2018,es,Granada,Nerja,24.0,1,9,1,7,0,Andalucía,Andalucía,No
976846,09/10/2018,es,Granada,La Línea de la Concepción,2.0,2,1,1,1,0,Andalucía,Andalucía,No
981265,09/10/2018,es,Granada,Arcos de la Frontera,2.0,1,1,1,1,0,Andalucía,Andalucía,No
1003813,09/10/2018,es,Granada,Casares,1.0,1,1,1,1,0,Andalucía,Andalucía,No
379622,11/10/2018,es,Granada,Sevilla,264.0,137,116,61,110,6,Andalucía,Andalucía,No
457715,11/10/2018,es,Granada,Jerez de la Frontera,62.0,53,35,24,35,1,Andalucía,Andalucía,No
478114,11/10/2018,es,Granada,Algeciras,68.0,52,33,22,32,3,Andalucía,Andalucía,No
513629,11/10/2018,es,Granada,El Puerto de Santa María,18.0,18,12,8,12,0,Andalucía,Andalucía,No
524152,11/10/2018,es,Granada,Marbella,45.0,34,29,18,27,2,Andalucía,Andalucía,No
553780,11/10/2018,es,Granada,San Fernando,19.0,6,11,4,10,0,Andalucía,Andalucía,No
568929,11/10/2018,es,Granada,Málaga,369.0,166,172,74,165,6,Andalucía,Andalucía,No
654303,11/10/2018,es,Granada,Jaén,194.0,67,105,34,104,3,Andalucía,Andalucía,No
663226,11/10/2018,es,Granada,San Roque,7.0,7,6,5,6,0,Andalucía,Andalucía,No
676680,11/10/2018,es,Granada,Córdoba,77.0,45,42,24,41,0,Andalucía,Andalucía,No
690981,11/10/2018,es,Granada,Chiclana de la Frontera,13.0,10,9,5,8,0,Andalucía,Andalucía,No
734075,11/10/2018,es,Granada,Garrucha,13.0,13,5,5,5,0,Andalucía,Andalucía,No
747381,11/10/2018,es,Granada,Villanueva del Arzobispo,5.0,3,3,2,3,0,Andalucía,Andalucía,No
767544,11/10/2018,es,Granada,Vélez-Málaga,37.0,16,21,8,21,0,Andalucía,Andalucía,No
769463,11/10/2018,es,Granada,Antequera,37.0,7,21,4,20,3,Andalucía,Andalucía,No
779859,11/10/2018,es,Granada,Úbeda,27.0,18,19,9,16,0,Andalucía,Andalucía,No
785552,11/10/2018,es,Granada,Almería,137.0,83,68,35,64,2,Andalucía,Andalucía,No
797417,11/10/2018,es,Granada,Bailén,10.0,5,6,2,6,0,Andalucía,Andalucía,No
802552,11/10/2018,es,Granada,Huércal-Overa,3.0,2,4,2,4,0,Andalucía,Andalucía,No
805714,11/10/2018,es,Granada,Utrera,2.0,1,3,1,3,0,Andalucía,Andalucía,No
809439,11/10/2018,es,Granada,Torremolinos,22.0,3,15,2,14,1,Andalucía,Andalucía,No
814459,11/10/2018,es,Granada,Arroyo del Ojanco,3.0,1,4,1,4,0,Andalucía,Andalucía,No
830247,11/10/2018,es,Granada,Cádiz,39.0,28,18,13,17,0,Andalucía,Andalucía,No
836197,11/10/2018,es,Granada,La Carolina,12.0,1,6,1,6,0,Andalucía,Andalucía,No
837960,11/10/2018,es,Granada,Puente de Génave,4.0,2,2,1,2,0,Andalucía,Andalucía,No
838137,11/10/2018,es,Granada,Pulpí,2.0,2,1,1,1,0,Andalucía,Andalucía,No
839640,11/10/2018,es,Granada,Albox,9.0,6,4,3,4,0,Andalucía,Andalucía,No
840031,11/10/2018,es,Granada,La Puerta de Segura,3.0,2,6,2,5,0,Andalucía,Andalucía,No
842917,11/10/2018,es,Granada,Vera,10.0,6,7,3,6,0,Andalucía,Andalucía,No
844874,11/10/2018,es,Granada,Guadix,57.0,1,36,1,34,1,Andalucía,Andalucía,Si
846996,11/10/2018,es,Granada,Mojácar,8.0,8,3,3,3,0,Andalucía,Andalucía,No
853820,11/10/2018,es,Granada,Villacarrillo,5.0,1,6,1,5,0,Andalucía,Andalucía,No
856356,11/10/2018,es,Granada,Olula del Río,1.0,1,1,1,1,0,Andalucía,Andalucía,No
860361,11/10/2018,es,Granada,Linares,35.0,11,19,5,18,1,Andalucía,Andalucía,No
864914,11/10/2018,es,Granada,Benalmádena,31.0,3,17,2,15,1,Andalucía,Andalucía,No
867232,11/10/2018,es,Granada,Mengíbar,5.0,1,2,1,2,0,Andalucía,Andalucía,No
872329,11/10/2018,es,Granada,Huelva,22.0,12,12,8,12,3,Andalucía,Andalucía,No
878186,11/10/2018,es,Granada,Mijas,8.0,2,6,1,6,0,Andalucía,Andalucía,No
879767,11/10/2018,es,Granada,Cuevas del Almanzora,2.0,2,2,2,2,0,Andalucía,Andalucía,No
892967,11/10/2018,es,Granada,Fuengirola,40.0,14,23,7,22,2,Andalucía,Andalucía,No
897889,11/10/2018,es,Granada,Ronda,15.0,6,7,3,6,1,Andalucía,Andalucía,No
900092,11/10/2018,es,Granada,Vélez-Rubio,11.0,1,8,1,7,2,Andalucía,Andalucía,No
901457,11/10/2018,es,Granada,Pozoblanco,8.0,4,5,2,5,0,Andalucía,Andalucía,No
909160,11/10/2018,es,Granada,Roquetas de Mar,39.0,15,25,11,23,3,Andalucía,Andalucía,No
912025,11/10/2018,es,Granada,Huéscar,18.0,11,9,4,9,0,Andalucía,Andalucía,Si
912905,11/10/2018,es,Granada,Andújar,9.0,9,5,4,4,0,Andalucía,Andalucía,No
916547,11/10/2018,es,Granada,Macael,3.0,3,1,1,1,0,Andalucía,Andalucía,No
922000,11/10/2018,es,Granada,Tarifa,11.0,5,6,3,5,1,Andalucía,Andalucía,No
925677,11/10/2018,es,Granada,El Ejido,52.0,34,33,20,33,4,Andalucía,Andalucía,No
929604,11/10/2018,es,Granada,Baza,91.0,35,49,16,47,1,Andalucía,Andalucía,Si
936914,11/10/2018,es,Granada,Priego de Córdoba,10.0,4,4,1,4,0,Andalucía,Andalucía,No
938629,11/10/2018,es,Granada,Estepona,17.0,13,15,8,15,0,Andalucía,Andalucía,No
941533,11/10/2018,es,Granada,Lepe,2.0,1,4,1,4,1,Andalucía,Andalucía,No
949575,11/10/2018,es,Granada,Lucena,21.0,10,11,7,11,0,Andalucía,Andalucía,No
954682,11/10/2018,es,Granada,Torrox,9.0,3,8,2,6,0,Andalucía,Andalucía,No
955908,11/10/2018,es,Granada,Almuñécar,47.0,1,20,1,19,2,Andalucía,Andalucía,Si
958457,11/10/2018,es,Granada,Estepa,25.0,4,13,3,13,1,Andalucía,Andalucía,No
968441,11/10/2018,es,Granada,Motril,38.0,8,28,5,22,0,Andalucía,Andalucía,Si
971774,11/10/2018,es,Granada,Nerja,43.0,7,21,6,18,1,Andalucía,Andalucía,No
973787,11/10/2018,es,Granada,Adra,21.0,18,13,9,13,0,Andalucía,Andalucía,No
976847,11/10/2018,es,Granada,La Línea de la Concepción,9.0,8,4,3,4,0,Andalucía,Andalucía,No
979771,11/10/2018,es,Granada,Loja,25.0,1,12,2,11,2,Andalucía,Andalucía,Si
980545,11/10/2018,es,Granada,Alcalá de Guadaíra,4.0,2,4,2,4,1,Andalucía,Andalucía,No
981267,11/10/2018,es,Granada,Arcos de la Frontera,3.0,3,9,2,9,0,Andalucía,Andalucía,No
981793,11/10/2018,es,Granada,Puebla de Don Fadrique,1.0,1,2,1,2,0,Andalucía,Andalucía,Si
987691,11/10/2018,es,Granada,Martos,6.0,2,2,1,2,1,Andalucía,Andalucía,No
988422,11/10/2018,es,Granada,Cabra,3.0,3,1,1,1,0,Andalucía,Andalucía,No
991486,11/10/2018,es,Granada,Osuna,15.0,1,10,1,9,1,Andalucía,Andalucía,No
996174,11/10/2018,es,Granada,Sanlúcar de Barrameda,1.0,1,2,1,2,0,Andalucía,Andalucía,No
999130,11/10/2018,es,Granada,Ubrique,2.0,2,1,1,1,0,Andalucía,Andalucía,No
1002339,11/10/2018,es,Granada,Villamartín,7.0,7,5,4,5,0,Andalucía,Andalucía,No
1002802,11/10/2018,es,Granada,Vícar,1.0,1,3,1,3,0,Andalucía,Andalucía,No
1004437,11/10/2018,es,Granada,Montilla,12.0,4,6,2,5,0,Andalucía,Andalucía,No
1005228,11/10/2018,es,Granada,Las Cabezas de San Juan,2.0,1,1,1,1,0,Andalucía,Andalucía,No
1005622,11/10/2018,es,Granada,Salobreña,10.0,1,4,1,4,0,Andalucía,Andalucía,Si
1006810,11/10/2018,es,Granada,Cúllar,9.0,1,7,1,7,0,Andalucía,Andalucía,Si
1007928,11/10/2018,es,Granada,Tomares,3.0,3,1,1,1,0,Andalucía,Andalucía,No
1008976,11/10/2018,es,Granada,Paterna de Rivera,2.0,2,1,1,1,0,Andalucía,Andalucía,No
1011429,11/10/2018,es,Granada,Fines,6.0,3,2,1,2,0,Andalucía,Andalucía,No
1011539,11/10/2018,es,Granada,Canena,3.0,1,1,1,1,0,Andalucía,Andalucía,No
1012966,11/10/2018,es,Granada,Puente Genil,9.0,1,4,1,4,0,Andalucía,Andalucía,No
1014209,11/10/2018,es,Granada,Olvera,2.0,1,5,1,4,0,Andalucía,Andalucía,No
1014537,11/10/2018,es,Granada,Purchena,2.0,2,1,1,1,0,Andalucía,Andalucía,No
1015381,11/10/2018,es,Granada,Pozo Alcón,12.0,2,4,2,4,1,Andalucía,Andalucía,No
1016822,11/10/2018,es,Granada,Galera,1.0,1,2,1,2,0,Andalucía,Andalucía,Si
1017467,11/10/2018,es,Granada,Siles,2.0,1,3,1,3,0,Andalucía,Andalucía,No
1020714,11/10/2018,es,Granada,Villanueva del Duque,4.0,1,2,1,1,0,Andalucía,Andalucía,No
1021857,11/10/2018,es,Granada,Casariche,3.0,3,1,1,1,0,Andalucía,Andalucía,No
1043061,11/10/2018,es,Granada,El Coronil,2.0,1,1,1,1,1,Andalucía,Andalucía,No
1044596,11/10/2018,es,Granada,Ugíjar,3.0,2,1,1,1,0,Andalucía,Andalucía,Si
1044738,11/10/2018,es,Granada,Huéneja,3.0,1,1,1,1,0,Andalucía,Andalucía,Si
379970,24/09/2019,es,Granada,Sevilla,67.0,38,30,17,28,4,Andalucía,Andalucía,No
458063,24/09/2019,es,Granada,Jerez de la Frontera,31.0,4,13,4,12,1,Andalucía,Andalucía,No
478456,24/09/2019,es,Granada,Algeciras,11.0,4,7,4,7,1,Andalucía,Andalucía,No
513892,24/09/2019,es,Granada,El Puerto de Santa María,8.0,2,3,2,3,0,Andalucía,Andalucía,No
524498,24/09/2019,es,Granada,Marbella,26.0,4,13,3,12,1,Andalucía,Andalucía,No
554014,24/09/2019,es,Granada,San Fernando,10.0,1,5,1,5,0,Andalucía,Andalucía,No
569277,24/09/2019,es,Granada,Málaga,286.0,70,113,37,101,7,Andalucía,Andalucía,No
654651,24/09/2019,es,Granada,Jaén,130.0,12,47,8,46,2,Andalucía,Andalucía,No
663379,24/09/2019,es,Granada,San Roque,5.0,2,2,1,2,0,Andalucía,Andalucía,No
677028,24/09/2019,es,Granada,Córdoba,15.0,7,8,3,7,0,Andalucía,Andalucía,No
734204,24/09/2019,es,Granada,Garrucha,3.0,1,1,1,1,0,Andalucía,Andalucía,No
767841,24/09/2019,es,Granada,Vélez-Málaga,9.0,1,3,1,2,0,Andalucía,Andalucía,No
769704,24/09/2019,es,Granada,Antequera,14.0,2,7,1,7,1,Andalucía,Andalucía,No
785900,24/09/2019,es,Granada,Almería,67.0,15,22,9,20,2,Andalucía,Andalucía,No
802654,24/09/2019,es,Granada,Huércal-Overa,2.0,2,2,2,2,0,Andalucía,Andalucía,No
809670,24/09/2019,es,Granada,Torremolinos,18.0,2,8,1,6,1,Andalucía,Andalucía,No
830575,24/09/2019,es,Granada,Cádiz,12.0,7,4,3,4,0,Andalucía,Andalucía,No
860673,24/09/2019,es,Granada,Linares,34.0,4,12,2,11,0,Andalucía,Andalucía,No
865134,24/09/2019,es,Granada,Benalmádena,8.0,2,5,2,5,0,Andalucía,Andalucía,No
872603,24/09/2019,es,Granada,Huelva,14.0,4,7,3,5,1,Andalucía,Andalucía,No
879818,24/09/2019,es,Granada,Cuevas del Almanzora,1.0,1,1,1,1,0,Andalucía,Andalucía,No
893255,24/09/2019,es,Granada,Fuengirola,4.0,1,2,1,2,0,Andalucía,Andalucía,No
898117,24/09/2019,es,Granada,Ronda,14.0,3,5,1,5,1,Andalucía,Andalucía,No
909484,24/09/2019,es,Granada,Roquetas de Mar,27.0,3,9,3,8,1,Andalucía,Andalucía,No
912219,24/09/2019,es,Granada,Huéscar,12.0,1,4,1,4,0,Andalucía,Andalucía,Si
926018,24/09/2019,es,Granada,El Ejido,35.0,1,13,1,11,2,Andalucía,Andalucía,No
929951,24/09/2019,es,Granada,Baza,60.0,6,24,5,23,3,Andalucía,Andalucía,Si
968667,24/09/2019,es,Granada,Motril,29.0,2,19,2,7,1,Andalucía,Andalucía,Si
972038,24/09/2019,es,Granada,Nerja,18.0,1,8,1,7,0,Andalucía,Andalucía,No
981457,24/09/2019,es,Granada,Arcos de la Frontera,16.0,2,6,2,5,1,Andalucía,Andalucía,No
991579,24/09/2019,es,Granada,Osuna,15.0,2,6,1,6,0,Andalucía,Andalucía,No
1005728,24/09/2019,es,Granada,Salobreña,3.0,1,4,1,1,0,Andalucía,Andalucía,Si
1014565,24/09/2019,es,Granada,Purchena,3.0,1,1,1,1,1,Andalucía,Andalucía,No
1015058,24/09/2019,es,Granada,Arahal,3.0,2,2,2,2,0,Andalucía,Andalucía,No
1044690,24/09/2019,es,Granada,Cádiar,3.0,1,1,1,1,0,Andalucía,Andalucía,Si
379985,09/10/2019,es,Granada,Sevilla,87.0,42,36,16,33,1,Andalucía,Andalucía,No
458078,09/10/2019,es,Granada,Jerez de la Frontera,7.0,6,7,4,7,1,Andalucía,Andalucía,No
478471,09/10/2019,es,Granada,Algeciras,21.0,8,10,5,8,3,Andalucía,Andalucía,No
524513,09/10/2019,es,Granada,Marbella,28.0,7,12,4,10,2,Andalucía,Andalucía,No
569292,09/10/2019,es,Granada,Málaga,243.0,57,97,35,93,9,Andalucía,Andalucía,No
654666,09/10/2019,es,Granada,Jaén,152.0,9,62,6,61,4,Andalucía,Andalucía,No
669960,09/10/2019,es,Granada,Baeza,6.0,1,3,1,3,1,Andalucía,Andalucía,No
677043,09/10/2019,es,Granada,Córdoba,23.0,8,11,5,10,0,Andalucía,Andalucía,No
691187,09/10/2019,es,Granada,Chiclana de la Frontera,2.0,2,2,2,2,0,Andalucía,Andalucía,No
769716,09/10/2019,es,Granada,Antequera,9.0,1,4,1,4,0,Andalucía,Andalucía,No
780163,09/10/2019,es,Granada,Úbeda,25.0,1,10,1,10,2,Andalucía,Andalucía,No
785915,09/10/2019,es,Granada,Almería,85.0,15,34,9,30,2,Andalucía,Andalucía,No
809681,09/10/2019,es,Granada,Torremolinos,14.0,3,8,2,8,2,Andalucía,Andalucía,No
830590,09/10/2019,es,Granada,Cádiz,13.0,11,6,5,6,1,Andalucía,Andalucía,No
836308,09/10/2019,es,Granada,La Carolina,11.0,2,6,1,6,0,Andalucía,Andalucía,No
860688,09/10/2019,es,Granada,Linares,30.0,1,12,1,11,1,Andalucía,Andalucía,No
872616,09/10/2019,es,Granada,Huelva,11.0,1,5,1,5,0,Andalucía,Andalucía,No
878370,09/10/2019,es,Granada,Mijas,8.0,2,3,2,3,1,Andalucía,Andalucía,No
898126,09/10/2019,es,Granada,Ronda,7.0,6,3,3,3,0,Andalucía,Andalucía,No
900198,09/10/2019,es,Granada,Vélez-Rubio,8.0,1,3,1,3,0,Andalucía,Andalucía,No
909498,09/10/2019,es,Granada,Roquetas de Mar,26.0,1,10,1,9,1,Andalucía,Andalucía,No
926033,09/10/2019,es,Granada,El Ejido,25.0,2,11,1,10,0,Andalucía,Andalucía,No
929966,09/10/2019,es,Granada,Baza,59.0,5,22,4,22,2,Andalucía,Andalucía,Si
931727,09/10/2019,es,Granada,Manilva,3.0,1,2,1,2,0,Andalucía,Andalucía,No
938924,09/10/2019,es,Granada,Estepona,14.0,3,6,1,5,2,Andalucía,Andalucía,No
949766,09/10/2019,es,Granada,Lucena,4.0,1,4,1,4,0,Andalucía,Andalucía,No
956209,09/10/2019,es,Granada,Almuñécar,42.0,2,15,2,14,0,Andalucía,Andalucía,Si
968675,09/10/2019,es,Granada,Motril,12.0,1,10,4,5,1,Andalucía,Andalucía,Si
972051,09/10/2019,es,Granada,Nerja,25.0,5,12,3,9,0,Andalucía,Andalucía,No
974081,09/10/2019,es,Granada,Adra,18.0,1,7,1,5,1,Andalucía,Andalucía,No
977083,09/10/2019,es,Granada,La Línea de la Concepción,6.0,2,2,1,2,0,Andalucía,Andalucía,No
1001224,09/10/2019,es,Granada,Mairena del Aljarafe,3.0,1,1,1,1,0,Andalucía,Andalucía,No
1004476,09/10/2019,es,Granada,Montilla,2.0,2,1,1,1,0,Andalucía,Andalucía,No
379987,11/10/2019,es,Granada,Sevilla,213.0,93,95,50,89,12,Andalucía,Andalucía,No
